NAME,S1901_C01_001E,S1901_C01_013E
ZCTA5 94904,5599,243181
ZCTA5 95120,12714,243160
ZCTA5 07632,1906,242530
ZCTA5 94708,4715,242387
ZCTA5 94304,1935,242185
ZCTA5 33149,4079,242022
ZCTA5 11753,4428,242005
ZCTA5 37350,754,241946
ZCTA5 08558,2549,241894
ZCTA5 01770,1478,241886
ZCTA5 98040,10128,241738
ZCTA5 78733,2839,241690
ZCTA5 10075,12075,241307
ZCTA5 07670,4670,240978
ZCTA5 91302,9949,240688
ZCTA5 20015,6109,240225
ZCTA5 26146,342,240208
ZCTA5 92861,1972,240160
ZCTA5 20896,309,240132
ZCTA5 02210,2711,239943
ZCTA5 02492,7132,239712
ZCTA5 60558,4460,239352
ZCTA5 07627,1672,239096
ZCTA5 94946,306,239034
ZCTA5 11579,1899,238924
ZCTA5 93066,972,238382
ZCTA5 08502,3654,238226
ZCTA5 10502,1897,238206
ZCTA5 10533,2393,238039
ZCTA5 01778,4761,237882
ZCTA5 92014,5634,237815
ZCTA5 55391,6594,237803
ZCTA5 10021,22084,237726
ZCTA5 01890,8065,237695
ZCTA5 08327,192,237640
ZCTA5 57344,37,237432
ZCTA5 07922,4101,236191
ZCTA5 01776,6301,236123
ZCTA5 10518,381,235456
ZCTA5 81222,133,235121
ZCTA5 08550,6620,235100
ZCTA5 90094,4026,234855
ZCTA5 72585,103,234804
ZCTA5 79353,6,234633
ZCTA5 01741,1775,234371
ZCTA5 20759,1565,234355
ZCTA5 94971,87,234246
ZCTA5 20143,213,233871
ZCTA5 18977,1745,233722
ZCTA5 22124,6498,233423
ZCTA5 95138,5773,232835
ZCTA5 08535,1564,232801
ZCTA5 01921,2853,232525
ZCTA5 73151,607,232506
ZCTA5 02052,4362,232475
ZCTA5 94127,7529,232236
ZCTA5 98075,7814,232234
ZCTA5 10069,3106,232218
ZCTA5 22182,9040,231616
ZCTA5 01748,6468,231252
ZCTA5 35223,4140,231202
ZCTA5 11530,9303,230942
ZCTA5 07090,10177,230689
ZCTA5 92679,11008,230627
ZCTA5 10964,563,230562
ZCTA5 11791,8098,230220
ZCTA5 07677,1890,229801
ZCTA5 21029,3612,229708
ZCTA5 77024,16019,229420
ZCTA5 10578,419,229387
ZCTA5 02465,4400,229039
ZCTA5 91108,4108,228665
ZCTA5 69148,62,228655
ZCTA5 66211,2373,228304
ZCTA5 22181,5431,228159
ZCTA5 02637,75,228085
ZCTA5 02421,6861,227852
ZCTA5 07722,3451,227846
ZCTA5 78732,6197,227782
ZCTA5 63005,6937,227759
ZCTA5 19041,2426,227205
ZCTA5 90049,16375,227182
ZCTA5 20124,4802,227166
ZCTA5 07481,5808,226921
ZCTA5 78746,10414,226821
ZCTA5 94129,1291,226797
ZCTA5 10006,1811,226459
ZCTA5 01772,3289,226378
ZCTA5 19807,3216,226348
ZCTA5 10023,33770,226093
ZCTA5 07934,497,225765
ZCTA5 04575,38,225758
ZCTA5 60035,11704,225629
ZCTA5 10028,24974,225593
ZCTA5 33158,1983,225581
